LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,c
2,1,0,0,0,0,1,0.1,0,0,1,1,1,1,0,10,0,27.9,7.78,1687.93,0.07,57,0.13,93.77,217.02,1,0,0,2,0.08,28,29,9,5,13,0,10,FALSE
1,1,4,0,0,0,1,0.07,0,0,1,1,5,1,0,14,2,40.67,14,7972.25,0.19,107,0.07,442.9,569.45,1,0,0,6,0.06,52,55,26,14,16,0,14,FALSE
27,19,1,4,13,26,11,0.26,12,2.17,2,0.18,34,1,0,38,0,33.74,23.2,18157.82,0.26,136,0.04,1008.77,782.66,0.09,7,13,25,0.13,58,78,30,24,83,30.91,42,FALSE
2,17,2,0,0,24,9,0.47,8,3.0,4,0.44,32,6,0.63,19,2,26.33,31.74,26522.64,0.28,154,0.03,1473.48,835.64,0.67,8,14,25,0.41,73,81,23,20,22,0,19,FALSE
6,1,1,0,2,0,1,0.11,0,0,1,1,2,1,0,9,0,42.25,4.43,830.35,0.06,42,0.23,46.13,187.3,1,0,0,3,0.06,19,23,15,7,18,18.18,9,FALSE
1,15,3,0,0,28,8,0.28,14,2.0,6,0.75,32,6,0.71,29,2,25.81,30.07,23331.58,0.26,143,0.03,1296.2,775.96,0.75,7,14,26,0.26,63,80,22,21,31,0,29,FALSE
0,1,0,0,1,0,1,0.33,0,0,1,1,1,1,0,3,1,8,3,72,0.01,8,0.33,4,24,1,0,0,2,0.2,2,6,2,6,5,25,3,FALSE
26,5,4,0,4,8,3,0.07,4,2.0,3,1,15,1,0,41,1,46.77,30.69,44054.95,0.48,243,0.03,2447.5,1435.37,0.33,2,4,14,0.04,114,129,39,21,72,8.89,41,TRUE
3,9,3,0,0,16,5,0.21,8,2.0,4,0.8,21,1,0,24,3,33.71,14.84,7426.6,0.17,101,0.07,412.59,500.37,0.2,4,8,18,0.18,47,54,19,12,28,0,24,FALSE
6,37,2,5,4,60,19,0.23,24,2.5,2,0.11,63,18,0.94,77,1,60.94,26.48,42724.78,0.54,266,0.04,2373.6,1613.58,0.95,18,30,46,0.2,116,150,46,21,93,10.47,82,FALSE
3,1,2,0,0,0,1,0.06,0,0,1,1,4,1,0,17,0,43.58,12.62,6939.41,0.18,111,0.08,385.52,549.92,1,0,0,5,0.05,53,58,21,10,21,0,17,FALSE
1,5,4,0,0,8,3,0.33,4,2.0,3,1,11,1,0,9,2,24,4.67,522.66,0.04,28,0.21,29.04,112,0.33,2,4,10,0.27,12,16,9,7,11,0,9,FALSE
2,5,1,0,0,8,3,0.23,4,2.0,1,0.33,12,1,0,13,1,18.54,16.14,4839.01,0.1,63,0.06,268.83,299.56,0.33,2,4,11,0.19,30,33,13,14,16,0,13,FALSE
18,9,1,0,0,12,5,0.38,4,3.0,2,0.4,14,5,1,13,2,16.54,12.36,2527.87,0.07,43,0.08,140.44,204.46,1,4,6,11,0.16,17,26,11,16,32,0,13,FALSE
1,3,2,0,0,4,2,0.4,2,2.0,2,1,8,1,0,5,0,13.67,5.71,446.5,0.03,20,0.18,24.81,78.14,0.5,1,2,8,0.29,10,10,7,8,7,0,5,FALSE
4,3,3,0,0,4,2,0.12,2,2.0,2,1,9,1,0,17,1,27.97,23.08,14896.06,0.22,139,0.04,827.56,645.5,0.5,1,2,9,0.09,50,89,13,12,22,0,17,FALSE
2,1,1,0,0,0,1,0.33,0,0,1,1,2,1,0,3,3,13.5,2,54,0.01,9,0.5,3,27,1,0,0,3,0.17,4,5,4,4,6,0,3,TRUE
11,5,3,0,13,8,3,0.25,4,2.0,1,0.33,12,1,0,12,0,36.12,6.39,1474.26,0.08,48,0.16,81.9,230.75,0.33,2,4,11,0.08,23,25,18,10,37,52,12,FALSE
25,9,4,5,17,14,5,0.22,6,2.33,3,0.6,22,3,0.5,18,1,39.88,13.33,7090.32,0.18,98,0.08,393.91,531.77,0.6,4,7,19,0.08,45,53,27,16,66,55,23,FALSE
1,11,1,1,0,16,6,0.29,6,2.67,2,0.33,17,6,1,20,3,21.74,20.19,8859.53,0.15,87,0.05,492.2,438.86,1,5,8,13,0.26,38,49,16,17,23,4.76,21,FALSE
6,5,0,1,2,8,3,0.14,4,2.0,1,0.33,13,1,0,20,0,51.47,13.89,9932.28,0.24,143,0.07,551.79,715,0.33,2,4,12,0.1,71,72,23,9,30,13.04,21,FALSE
19,59,3,0,29,116,30,0.14,58,2.0,3,0.1,110,1,0,208,4,242.69,36.29,319607.72,2.94,1190,0.03,17755.98,8807.05,0.03,29,58,82,0.12,573,617,150,19,257,12.24,208,FALSE
6,1,1,0,3,0,1,0.17,0,0,1,1,2,1,0,6,1,23.55,14.58,5007.57,0.11,77,0.07,278.2,343.38,1,0,0,3,0.06,35,42,12,10,16,33.33,6,FALSE
5,8,1,0,4,4,6,0.25,2,2.0,2,0.33,16,1,0,24,1,19.95,12.41,3072.34,0.08,54,0.08,170.69,247.59,0.17,1,2,12,0.18,21,33,11,13,34,14.29,24,FALSE
24,1,1,0,24,0,1,0.05,0,0,1,1,2,1,0,19,0,77.95,9.14,6513.19,0.24,133,0.11,361.84,712.55,1,0,0,3,0.01,65,68,32,9,88,55.81,19,FALSE
5,3,1,0,10,4,2,0.33,2,2.0,1,0.5,7,1,0,6,2,11.99,6.67,533.03,0.03,21,0.15,29.61,79.95,0.5,1,2,7,0.09,10,11,6,8,22,62.5,6,FALSE
4,7,3,0,1,12,4,0.25,6,2.0,4,1,14,1,0,16,0,25.4,12.79,4158.09,0.11,65,0.08,231,325,0.25,3,6,12,0.18,29,36,17,15,22,5.88,16,FALSE
0,1,0,0,0,0,1,0.09,0,0,1,1,1,1,0,11,0,64.9,3.6,841.09,0.08,55,0.28,46.73,233.64,1,0,0,2,0.08,27,28,15,4,12,0,11,FALSE
2,3,2,0,0,4,2,0.33,2,2.0,2,1,7,1,0,6,0,16.5,2,66,0.01,11,0.5,3.67,33,0.5,1,2,7,0.22,4,7,4,4,9,0,6,FALSE
2,1,2,0,0,0,1,0.2,0,0,1,1,5,1,0,5,3,20.93,11.28,2661.56,0.08,59,0.09,147.86,236,1,0,0,6,0.13,29,30,9,7,8,0,5,FALSE
2,33,6,2,0,58,17,0.47,26,2.23,7,0.41,68,14,0.81,34,1,30.56,37.08,42020.85,0.38,196,0.03,2334.49,1133.15,0.82,16,29,53,0.44,89,107,30,25,39,5.56,36,FALSE
12,5,3,2,8,8,3,0.23,4,2.0,2,0.67,13,1,0,11,2,31.59,11.45,4145.3,0.12,68,0.09,230.29,361.89,0.33,2,4,12,0.09,28,40,22,18,34,47.62,13,FALSE
3,3,2,0,0,4,2,0.17,2,2.0,2,1,8,1,0,12,1,19.16,6.19,733.44,0.04,29,0.16,40.75,118.54,0.5,1,2,8,0.13,11,18,8,9,16,0,12,FALSE
4,5,3,0,0,8,3,0.3,4,2.0,3,1,11,1,0,10,0,23.58,8.57,1732.45,0.07,43,0.12,96.25,202.12,0.33,2,4,10,0.2,20,23,14,12,15,0,10,FALSE
16,13,3,0,10,24,7,0.17,12,2.0,4,0.57,29,1,0,41,2,59.59,22.8,30993.01,0.45,232,0.04,1721.83,1359.05,0.14,6,12,24,0.1,110,122,41,17,68,19.61,41,FALSE
2,1,0,0,0,0,1,0.1,0,0,1,1,1,1,0,10,3,17.35,46.29,37167.22,0.27,217,0.02,2064.85,803,1,0,0,2,0.08,108,109,7,6,13,0,10,FALSE
3,1,2,0,0,0,1,0.2,0,0,1,1,3,1,0,5,1,19.37,2.5,121.08,0.02,14,0.4,6.73,48.43,1,0,0,4,0.11,6,8,6,5,9,0,5,FALSE
0,5,0,0,0,6,3,0.6,2,3.0,1,0.33,7,3,1,5,1,13.11,4.8,301.96,0.02,17,0.21,16.78,62.91,1,2,3,6,0.5,6,11,5,8,6,0,5,FALSE
0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,2,0,0,2,1,0,0,2,1,0,2,0,2,1,0,0,FALSE
0,3,0,0,0,4,2,0.33,2,2.0,1,0.5,6,1,0,6,1,6,6,216,0.01,12,0.17,12,36,0.5,1,2,6,0.29,4,8,2,6,7,0,6,FALSE
1,3,0,0,0,4,2,0.22,2,2.0,1,0.5,5,1,0,9,1,35.77,7,1752.53,0.08,57,0.14,97.36,250.36,0.5,1,2,5,0.18,28,29,14,7,11,0,9,FALSE
18,15,4,2,6,26,8,0.17,12,2.17,7,0.88,37,3,0.29,45,0,63.61,27.76,48997.85,0.59,289,0.04,2722.1,1765.36,0.38,7,13,31,0.11,136,153,49,20,72,15.09,47,FALSE
10,1,1,1,19,0,1,0.17,0,0,1,1,2,1,0,5,1,12.44,4.9,298.63,0.02,17,0.2,16.59,60.94,1,0,0,3,0.03,7,10,5,7,36,80,6,FALSE
